plot,tag,trt,species,surv1.5yr
6,6_106,e,iholena,1
6,6_107,e,iholena,1
6,6_108,e,iholena,1
6,6_109,e,iholena,1
7,7_1,e,pohinahina,1
7,7_4,e,pohinahina,1
7,7_6,e,pohinahina,1
7,7_8,e,pohinahina,1
7,7_12,e,pohinahina,1
7,7_16,e,awa,0
7,7_17,e,pohinahina,1
7,7_19,e,pohinahina,1
7,7_21,e,pohinahina,1
7,7_24,e,pohinahina,1
7,7_25,e,pohinahina,1
7,7_29,e,pohinahina,1
7,7_32,e,pohinahina,1
7,7_36,e,pohinahina,1
7,7_37,e,pohinahina,1
7,7_41,e,pohinahina,1
7,7_42,e,pohinahina,1
7,7_43,e,ohia_ahihi,0
7,7_48,e,pohinahina,1
7,7_50,e,pohinahina,1
7,7_55,e,pohinahina,1
7,7_56,e,pohinahina,1
7,7_59,e,pohinahina,1
7,7_63,e,pohinahina,1
7,7_68,e,pohinahina,1
7,7_70,e,pohinahina,1
7,7_73,e,pohinahina,1
7,7_96,e,iholena,0
7,7_97,e,iholena,1
7,7_98,e,iholena,1
7,7_100,e,iholena,1
7,7_101,e,iholena,1
7,7_102,e,iholena,1
7,7_103,e,iholena,1
7,7_104,e,iholena,1
7,7_105,e,iholena,1
8,8_1,s,koa,1
8,8_2,s,aweoweo,1
8,8_3,s,pualoalo,1
8,8_6,s,pualoalo,1
8,8_7,s,aweoweo,1
8,8_8,s,awa,0
8,8_9,s,pualoalo,1
8,8_11,s,pualoalo,1
8,8_13,s,aweoweo,1
8,8_14,s,pualoalo,1
8,8_18,s,pualoalo,1
8,8_21,s,pualoalo,1
8,8_22,s,awa,0
8,8_24,s,koa,1
8,8_25,s,pualoalo,1
8,8_27,s,awa,0
8,8_28,s,pualoalo,1
8,8_29,s,aweoweo,1
8,8_30,s,maile,0
8,8_31,s,pualoalo,1
8,8_32,s,awa,0
8,8_36,s,pualoalo,1
8,8_37,s,awa,0
8,8_38,s,maile,0
8,8_39,s,aweoweo,1
8,8_40,s,pualoalo,1
8,8_41,s,aweoweo,1
8,8_42,s,koa,1
8,8_47,s,pualoalo,1
8,8_48,s,aweoweo,0
8,8_50,s,pualoalo,1
8,8_51,s,aweoweo,1
8,8_53,s,pualoalo,1
8,8_55,s,awa,0
8,8_56,s,pualoalo,1
8,8_58,s,aweoweo,1
8,8_59,s,koa,1
8,8_85,s,aweoweo,1
9,9_5,e,pohinahina,1
9,9_7,e,pohinahina,1
9,9_11,e,pohinahina,1
9,9_12,e,pohinahina,1
9,9_16,e,pohinahina,1
9,9_18,e,awa,0
9,9_19,e,pohinahina,1
9,9_21,e,pohinahina,1
9,9_25,e,pohinahina,1
9,9_27,e,pohinahina,1
9,9_29,e,maile,0
9,9_30,e,pohinahina,1
9,9_33,e,pohinahina,1
9,9_34,e,awa,0
9,9_37,e,pohinahina,1
9,9_40,e,awa,0
9,9_43,e,pohinahina,1
9,9_50,e,pohinahina,1
9,9_56,e,pohinahina,1
9,9_57,e,pohinahina,1
9,9_58,e,aalii,1
9,9_60,e,pohinahina,1
9,9_61,e,ohia_poly,0
9,9_65,e,aalii,1
9,9_71,e,pohinahina,1
9,9_82,e,aalii,0
9,9_85,e,iholena,1
9,9_100,e,iholena,1
9,9_101,e,iholena,1
9,9_102,e,iholena,1
9,9_103,e,iholena,1
9,9_104,e,iholena,1
9,9_105,e,iholena,1
9,9_106,e,iholena,1
9,9_107,e,iholena,1
10,10_3,s,pualoalo,1
10,10_11,s,koa,1
10,10_14,s,pualoalo,1
10,10_15,s,pualoalo,1
10,10_25,s,pualoalo,1
10,10_27,s,mamaki,0
10,10_29,s,koa,1
10,10_35,s,pualoalo,1
